"","species","island","bill_length_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.1,181,3750,"male",2007
"2","Adelie","Torgersen",39.5,186,3800,"female",2007
"3","Adelie","Torgersen",40.3,195,3250,"female",2007
"4","Adelie","Torgersen",36.7,193,3450,"female",2007
"5","Adelie","Torgersen",39.3,190,3650,"male",2007
"6","Adelie","Torgersen",38.9,181,3625,"female",2007
"7","Adelie","Torgersen",39.2,195,4675,"male",2007
"8","Adelie","Torgersen",41.1,182,3200,"female",2007
"9","Adelie","Torgersen",38.6,191,3800,"male",2007
"10","Adelie","Torgersen",34.6,198,4400,"male",2007
"11","Adelie","Torgersen",36.6,185,3700,"female",2007
"12","Adelie","Torgersen",38.7,195,3450,"female",2007
"13","Adelie","Torgersen",42.5,197,4500,"male",2007
"14","Adelie","Torgersen",34.4,184,3325,"female",2007
"15","Adelie","Torgersen",46,194,4200,"male",2007
"16","Adelie","Biscoe",37.8,174,3400,"female",2007
"17","Adelie","Biscoe",37.7,180,3600,"male",2007
"18","Adelie","Biscoe",35.9,189,3800,"female",2007
"19","Adelie","Biscoe",38.2,185,3950,"male",2007
"20","Adelie","Biscoe",38.8,180,3800,"male",2007
"21","Adelie","Biscoe",35.3,187,3800,"female",2007
"22","Adelie","Biscoe",40.6,183,3550,"male",2007
"23","Adelie","Biscoe",40.5,187,3200,"female",2007
"24","Adelie","Biscoe",37.9,172,3150,"female",2007
"25","Adelie","Biscoe",40.5,180,3950,"male",2007
"26","Adelie","Dream",39.5,178,3250,"female",2007
"27","Adelie","Dream",37.2,178,3900,"male",2007
"28","Adelie","Dream",39.5,188,3300,"female",2007
"29","Adelie","Dream",40.9,184,3900,"male",2007
"30","Adelie","Dream",36.4,195,3325,"female",2007
"31","Adelie","Dream",39.2,196,4150,"male",2007
"32","Adelie","Dream",38.8,190,3950,"male",2007
"33","Adelie","Dream",42.2,180,3550,"female",2007
"34","Adelie","Dream",37.6,181,3300,"female",2007
"35","Adelie","Dream",39.8,184,4650,"male",2007
"36","Adelie","Dream",36.5,182,3150,"female",2007
"37","Adelie","Dream",40.8,195,3900,"male",2007
"38","Adelie","Dream",36,186,3100,"female",2007
"39","Adelie","Dream",44.1,196,4400,"male",2007
"40","Adelie","Dream",37,185,3000,"female",2007
"41","Adelie","Dream",39.6,190,4600,"male",2007
"42","Adelie","Dream",41.1,182,3425,"male",2007
"43","Adelie","Dream",36,190,3450,"female",2007
"44","Adelie","Dream",42.3,191,4150,"male",2007
"45","Adelie","Biscoe",39.6,186,3500,"female",2008
"46","Adelie","Biscoe",40.1,188,4300,"male",2008
"47","Adelie","Biscoe",35,190,3450,"female",2008
"48","Adelie","Biscoe",42,200,4050,"male",2008
"49","Adelie","Biscoe",34.5,187,2900,"female",2008
"50","Adelie","Biscoe",41.4,191,3700,"male",2008
"51","Adelie","Biscoe",39,186,3550,"female",2008
"52","Adelie","Biscoe",40.6,193,3800,"male",2008
"53","Adelie","Biscoe",36.5,181,2850,"female",2008
"54","Adelie","Biscoe",37.6,194,3750,"male",2008
"55","Adelie","Biscoe",35.7,185,3150,"female",2008
"56","Adelie","Biscoe",41.3,195,4400,"male",2008
"57","Adelie","Biscoe",37.6,185,3600,"female",2008
"58","Adelie","Biscoe",41.1,192,4050,"male",2008
"59","Adelie","Biscoe",36.4,184,2850,"female",2008
"60","Adelie","Biscoe",41.6,192,3950,"male",2008
"61","Adelie","Biscoe",35.5,195,3350,"female",2008
"62","Adelie","Biscoe",41.1,188,4100,"male",2008
"63","Adelie","Torgersen",35.9,190,3050,"female",2008
"64","Adelie","Torgersen",41.8,198,4450,"male",2008
"65","Adelie","Torgersen",33.5,190,3600,"female",2008
"66","Adelie","Torgersen",39.7,190,3900,"male",2008
"67","Adelie","Torgersen",39.6,196,3550,"female",2008
"68","Adelie","Torgersen",45.8,197,4150,"male",2008
"69","Adelie","Torgersen",35.5,190,3700,"female",2008
"70","Adelie","Torgersen",42.8,195,4250,"male",2008
"71","Adelie","Torgersen",40.9,191,3700,"female",2008
"72","Adelie","Torgersen",37.2,184,3900,"male",2008
"73","Adelie","Torgersen",36.2,187,3550,"female",2008
"74","Adelie","Torgersen",42.1,195,4000,"male",2008
"75","Adelie","Torgersen",34.6,189,3200,"female",2008
"76","Adelie","Torgersen",42.9,196,4700,"male",2008
"77","Adelie","Torgersen",36.7,187,3800,"female",2008
"78","Adelie","Torgersen",35.1,193,4200,"male",2008
"79","Adelie","Dream",37.3,191,3350,"female",2008
"80","Adelie","Dream",41.3,194,3550,"male",2008
"81","Adelie","Dream",36.3,190,3800,"male",2008
"82","Adelie","Dream",36.9,189,3500,"female",2008
"83","Adelie","Dream",38.3,189,3950,"male",2008
"84","Adelie","Dream",38.9,190,3600,"female",2008
"85","Adelie","Dream",35.7,202,3550,"female",2008
"86","Adelie","Dream",41.1,205,4300,"male",2008
"87","Adelie","Dream",34,185,3400,"female",2008
"88","Adelie","Dream",39.6,186,4450,"male",2008
"89","Adelie","Dream",36.2,187,3300,"female",2008
"90","Adelie","Dream",40.8,208,4300,"male",2008
"91","Adelie","Dream",38.1,190,3700,"female",2008
"92","Adelie","Dream",40.3,196,4350,"male",2008
"93","Adelie","Dream",33.1,178,2900,"female",2008
"94","Adelie","Dream",43.2,192,4100,"male",2008
"95","Adelie","Biscoe",35,192,3725,"female",2009
"96","Adelie","Biscoe",41,203,4725,"male",2009
"97","Adelie","Biscoe",37.7,183,3075,"female",2009
"98","Adelie","Biscoe",37.8,190,4250,"male",2009
"99","Adelie","Biscoe",37.9,193,2925,"female",2009
"100","Adelie","Biscoe",39.7,184,3550,"male",2009
"101","Adelie","Biscoe",38.6,199,3750,"female",2009
"102","Adelie","Biscoe",38.2,190,3900,"male",2009
"103","Adelie","Biscoe",38.1,181,3175,"female",2009
"104","Adelie","Biscoe",43.2,197,4775,"male",2009
"105","Adelie","Biscoe",38.1,198,3825,"female",2009
"106","Adelie","Biscoe",45.6,191,4600,"male",2009
"107","Adelie","Biscoe",39.7,193,3200,"female",2009
"108","Adelie","Biscoe",42.2,197,4275,"male",2009
"109","Adelie","Biscoe",39.6,191,3900,"female",2009
"110","Adelie","Biscoe",42.7,196,4075,"male",2009
"111","Adelie","Torgersen",38.6,188,2900,"female",2009
"112","Adelie","Torgersen",37.3,199,3775,"male",2009
"113","Adelie","Torgersen",35.7,189,3350,"female",2009
"114","Adelie","Torgersen",41.1,189,3325,"male",2009
"115","Adelie","Torgersen",36.2,187,3150,"female",2009
"116","Adelie","Torgersen",37.7,198,3500,"male",2009
"117","Adelie","Torgersen",40.2,176,3450,"female",2009
"118","Adelie","Torgersen",41.4,202,3875,"male",2009
"119","Adelie","Torgersen",35.2,186,3050,"female",2009
"120","Adelie","Torgersen",40.6,199,4000,"male",2009
"121","Adelie","Torgersen",38.8,191,3275,"female",2009
"122","Adelie","Torgersen",41.5,195,4300,"male",2009
"123","Adelie","Torgersen",39,191,3050,"female",2009
"124","Adelie","Torgersen",44.1,210,4000,"male",2009
"125","Adelie","Torgersen",38.5,190,3325,"female",2009
"126","Adelie","Torgersen",43.1,197,3500,"male",2009
